"aqi","temperature","humidity","pm2_5","pm10","timestamp","dataSource"
107,35.8,34.6,38,40,"2026-03-18T10:05:21.254Z","real"
107,35.8,34.7,38,40,"2026-03-18T10:05:16.248Z","real"
107,35.8,34.5,38,40,"2026-03-18T10:05:11.390Z","real"
107,35.8,33.8,38,40,"2026-03-18T10:05:06.225Z","real"
107,35.8,34.1,38,40,"2026-03-18T10:05:01.127Z","real"
107,35.8,33.2,38,40,"2026-03-18T10:04:56.358Z","real"
107,35.8,34.5,38,40,"2026-03-18T10:04:51.054Z","real"
107,35.8,34.4,38,40,"2026-03-18T10:04:46.145Z","real"
107,35.9,34.3,38,40,"2026-03-18T10:04:41.436Z","real"
107,35.9,33.9,38,40,"2026-03-18T10:04:36.324Z","real"
107,36,34,38,40,"2026-03-18T10:04:31.196Z","real"
107,36,33.7,38,40,"2026-03-18T10:04:26.080Z","real"
107,36.1,33.6,38,40,"2026-03-18T10:04:21.165Z","real"
112,36.1,34,40,41,"2026-03-18T10:04:16.544Z","real"
112,36.1,35.2,40,41,"2026-03-18T10:04:11.121Z","real"
112,36.1,34.5,40,41,"2026-03-18T10:04:06.271Z","real"
112,36.1,35.3,40,41,"2026-03-18T10:04:01.392Z","real"
112,36.1,35.7,40,41,"2026-03-18T10:03:56.172Z","real"
112,36.1,35.7,40,41,"2026-03-18T10:03:51.043Z","real"
112,36,35.7,40,41,"2026-03-18T10:03:46.179Z","real"
112,36,35.7,40,41,"2026-03-18T10:03:41.443Z","real"
112,36,35.5,40,41,"2026-03-18T10:03:36.338Z","real"
112,35.9,35,40,41,"2026-03-18T10:03:31.184Z","real"
112,35.9,35,40,41,"2026-03-18T10:03:26.361Z","real"
112,35.9,35,40,41,"2026-03-18T10:03:21.182Z","real"
112,35.9,35,40,41,"2026-03-18T10:03:16.236Z","real"
112,35.9,35,40,41,"2026-03-18T10:03:11.126Z","real"
112,35.8,34.9,40,41,"2026-03-18T10:03:06.389Z","real"
112,35.8,34.8,40,41,"2026-03-18T10:03:01.271Z","real"
112,35.8,34.6,40,41,"2026-03-18T10:02:56.154Z","real"
110,35.8,34.5,39,40,"2026-03-18T10:02:51.266Z","real"
119,35.9,34.7,43,43,"2026-03-18T10:02:46.149Z","real"
119,35.8,35,43,43,"2026-03-18T10:02:41.243Z","real"
119,35.9,35.1,43,43,"2026-03-18T10:02:36.122Z","real"
119,35.9,34.9,43,43,"2026-03-18T10:02:31.246Z","real"
119,35.9,34.7,43,43,"2026-03-18T10:02:26.251Z","real"
117,35.9,34.1,42,42,"2026-03-18T10:02:21.141Z","real"
95,36,34.3,33,35,"2026-03-18T10:02:16.335Z","real"
95,36.1,35.5,33,35,"2026-03-18T10:02:11.104Z","real"
95,36.1,36,33,35,"2026-03-18T10:02:06.385Z","real"
95,36.1,35.9,33,35,"2026-03-18T10:02:01.268Z","real"
95,36,35.5,33,35,"2026-03-18T10:01:56.344Z","real"
95,36,35.7,33,35,"2026-03-18T10:01:51.026Z","real"
95,36,36.1,33,35,"2026-03-18T10:01:46.113Z","real"
95,36,36.2,33,35,"2026-03-18T10:01:41.410Z","real"
95,36,36.7,33,35,"2026-03-18T10:01:36.079Z","real"
95,36,36.7,33,35,"2026-03-18T10:01:31.207Z","real"
95,36,36.2,33,35,"2026-03-18T10:01:26.039Z","real"
95,36,36.2,33,35,"2026-03-18T10:01:21.374Z","real"
95,36,36.1,33,35,"2026-03-18T10:01:16.244Z","real"
95,36,36.1,33,35,"2026-03-18T10:01:11.086Z","real"
95,36,36,33,35,"2026-03-18T10:01:06.173Z","real"
95,36,35.9,33,35,"2026-03-18T10:01:01.045Z","real"
97,36,35.9,34,35,"2026-03-18T10:00:56.297Z","real"
97,36,36.1,34,35,"2026-03-18T10:00:51.013Z","real"
97,36,36.1,34,35,"2026-03-18T10:00:46.219Z","real"
97,36,36,34,35,"2026-03-18T10:00:41.198Z","real"
97,36,35.9,34,35,"2026-03-18T10:00:36.566Z","real"
97,36,34.5,34,35,"2026-03-18T10:00:31.152Z","real"
97,36,36,34,35,"2026-03-18T10:00:26.474Z","real"
97,36,36.2,34,35,"2026-03-18T10:00:21.113Z","real"
97,36,36.2,34,35,"2026-03-18T10:00:16.210Z","real"
97,36,36.1,34,35,"2026-03-18T10:00:11.082Z","real"
97,36,35.9,34,35,"2026-03-18T10:00:06.166Z","real"
97,36,35.8,34,35,"2026-03-18T10:00:01.045Z","real"
97,36,35.7,34,35,"2026-03-18T09:59:56.126Z","real"
97,36.1,36,34,35,"2026-03-18T09:59:51.500Z","real"
97,36.1,35.9,34,35,"2026-03-18T09:59:46.093Z","real"
97,36.1,35.9,34,35,"2026-03-18T09:59:41.255Z","real"
97,36.1,36.3,34,35,"2026-03-18T09:59:36.059Z","real"
97,36.2,36.4,34,35,"2026-03-18T09:59:31.388Z","real"
97,36.2,36.2,34,35,"2026-03-18T09:59:26.027Z","real"
97,36.2,36.8,34,35,"2026-03-18T09:59:21.315Z","real"
97,36.2,37,34,35,"2026-03-18T09:59:16.192Z","real"
97,36.2,37.6,34,35,"2026-03-18T09:59:11.073Z","real"
97,36.2,38,34,35,"2026-03-18T09:59:06.181Z","real"
97,36.2,38,34,35,"2026-03-18T09:59:01.053Z","real"
97,36.1,37.7,34,35,"2026-03-18T09:58:56.165Z","real"
97,36.1,36.7,34,35,"2026-03-18T09:58:51.298Z","real"
97,36.1,36.5,34,35,"2026-03-18T09:58:46.082Z","real"
97,36.1,36.3,34,35,"2026-03-18T09:58:41.168Z","real"
97,36.1,36.1,34,35,"2026-03-18T09:58:36.246Z","real"
97,36.1,36.2,34,35,"2026-03-18T09:58:31.167Z","real"
95,36.1,36.3,33,33,"2026-03-18T09:58:26.413Z","real"
95,36.2,36.4,33,33,"2026-03-18T09:58:21.127Z","real"
95,36.1,36.1,33,33,"2026-03-18T09:58:16.197Z","real"
95,36.1,36.1,33,33,"2026-03-18T09:58:11.071Z","real"
95,36.1,36.2,33,33,"2026-03-18T09:58:06.149Z","real"
95,36.1,36.3,33,33,"2026-03-18T09:58:01.768Z","real"
95,36.1,36.5,33,33,"2026-03-18T09:57:56.103Z","real"
95,36.1,36.6,33,33,"2026-03-18T09:57:51.407Z","real"
95,36.1,36.8,33,33,"2026-03-18T09:57:46.071Z","real"
95,36.1,37.1,33,33,"2026-03-18T09:57:44.353Z","real"
95,36,37.7,33,33,"2026-03-18T09:57:36.031Z","real"
95,36,37.9,33,33,"2026-03-18T09:57:31.387Z","real"
95,36,38.1,33,33,"2026-03-18T09:57:26.219Z","real"
95,35.9,38.2,33,33,"2026-03-18T09:57:21.099Z","real"
95,35.9,38.4,33,33,"2026-03-18T09:57:16.182Z","real"
