_id,aqi,temperature,humidity,pm2_5,pm10,timestamp,dataSource,location,__v,location.latitude,location.longitude
synth_00000,107,33.5,49.3,35,35,2026-02-22 18:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00001,113,32.5,49.8,56,59,2026-02-22 19:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00002,111,29.8,53.3,5,5,2026-02-22 20:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00003,104,32.1,51.5,6,6,2026-02-22 21:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00004,100,31.1,52.0,37,38,2026-02-22 22:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00005,97,33.0,47.8,79,82,2026-02-22 23:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00006,101,30.8,52.3,5,5,2026-02-23 00:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00007,101,32.3,48.5,28,32,2026-02-23 01:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00008,103,33.7,47.2,5,5,2026-02-23 02:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00009,107,35.3,43.3,61,68,2026-02-23 03:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00010,105,35.6,41.8,36,42,2026-02-23 04:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00011,105,38.2,38.1,61,70,2026-02-23 05:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00012,107,37.3,38.9,74,79,2026-02-23 06:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00013,111,37.9,39.0,5,5,2026-02-23 07:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00014,111,39.9,35.9,27,29,2026-02-23 08:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00015,114,39.7,34.5,62,62,2026-02-23 09:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00016,114,39.8,34.9,42,44,2026-02-23 10:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00017,110,38.9,37.2,28,28,2026-02-23 11:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00018,107,37.5,38.4,37,46,2026-02-23 12:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00019,104,38.2,37.4,48,53,2026-02-23 13:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00020,106,37.6,39.4,19,25,2026-02-23 14:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00021,102,35.9,42.6,19,20,2026-02-23 15:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00022,100,34.7,46.0,44,46,2026-02-23 16:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00023,108,33.6,48.7,6,6,2026-02-23 17:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00024,112,32.7,47.3,60,65,2026-02-23 18:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00025,114,32.2,50.1,50,50,2026-02-23 19:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00026,122,31.4,51.6,52,57,2026-02-23 20:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00027,123,32.0,51.7,28,33,2026-02-23 21:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00028,118,30.8,51.8,25,27,2026-02-23 22:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00029,116,32.5,50.8,59,71,2026-02-23 23:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00030,115,31.5,51.3,22,23,2026-02-24 00:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00031,114,32.8,47.2,38,43,2026-02-24 01:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00032,112,33.9,47.4,10,10,2026-02-24 02:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00033,109,35.1,45.3,17,19,2026-02-24 03:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00034,103,36.3,42.8,18,28,2026-02-24 04:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00035,106,38.7,38.7,62,69,2026-02-24 05:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00036,105,37.9,38.7,40,40,2026-02-24 06:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00037,111,37.9,39.4,5,5,2026-02-24 07:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00038,112,39.3,35.7,56,57,2026-02-24 08:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00039,123,38.7,36.1,57,63,2026-02-24 09:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00040,116,40.0,35.8,35,36,2026-02-24 10:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00041,110,40.3,35.8,21,23,2026-02-24 11:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00042,115,38.3,36.7,69,71,2026-02-24 12:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00043,112,37.8,38.4,48,49,2026-02-24 13:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00044,108,37.6,39.5,9,9,2026-02-24 14:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00045,113,36.2,43.2,5,5,2026-02-24 15:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00046,113,34.8,44.9,28,30,2026-02-24 16:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00047,119,34.9,44.9,14,15,2026-02-24 17:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00048,120,32.7,48.7,27,30,2026-02-24 18:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00049,121,32.7,50.1,31,32,2026-02-24 19:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00050,115,32.2,51.3,29,29,2026-02-24 20:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00051,119,31.8,51.3,29,32,2026-02-24 21:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00052,119,33.1,49.5,63,66,2026-02-24 22:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00053,117,32.1,51.0,37,44,2026-02-24 23:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00054,110,32.9,50.5,14,14,2026-02-25 00:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00055,108,33.1,48.1,22,22,2026-02-25 01:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00056,103,34.5,45.6,27,29,2026-02-25 02:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00057,104,34.8,44.9,22,22,2026-02-25 03:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00058,102,36.5,43.0,35,35,2026-02-25 04:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00059,103,36.9,40.6,16,16,2026-02-25 05:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00060,108,39.0,37.0,75,80,2026-02-25 06:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00061,112,39.1,36.0,41,44,2026-02-25 07:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00062,121,41.5,32.8,68,73,2026-02-25 08:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00063,129,38.7,36.1,22,22,2026-02-25 09:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00064,121,40.0,36.5,50,50,2026-02-25 10:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00065,112,38.7,37.8,55,57,2026-02-25 11:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00066,101,39.4,36.8,62,65,2026-02-25 12:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00067,101,37.8,39.4,34,35,2026-02-25 13:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00068,101,37.9,38.6,43,50,2026-02-25 14:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00069,104,36.8,42.4,24,24,2026-02-25 15:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00070,114,35.8,43.8,82,93,2026-02-25 16:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00071,110,35.1,43.9,51,51,2026-02-25 17:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00072,111,34.6,46.8,61,61,2026-02-25 18:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00073,106,32.7,49.6,30,32,2026-02-25 19:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00074,103,32.6,49.1,50,51,2026-02-25 20:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00075,105,31.6,51.3,58,60,2026-02-25 21:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00076,106,30.9,51.5,21,21,2026-02-25 22:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00077,104,32.2,50.2,44,49,2026-02-25 23:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00078,102,32.2,48.3,19,24,2026-02-26 00:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00079,109,33.7,48.0,43,47,2026-02-26 01:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00080,107,32.8,48.1,15,15,2026-02-26 02:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00081,103,36.0,44.6,13,15,2026-02-26 03:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00082,104,37.1,42.2,15,15,2026-02-26 04:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00083,102,37.4,42.1,5,5,2026-02-26 05:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00084,102,37.7,38.2,26,26,2026-02-26 06:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00085,108,38.8,36.2,36,40,2026-02-26 07:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00086,114,39.1,37.2,14,15,2026-02-26 08:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00087,113,39.5,33.7,48,52,2026-02-26 09:40:05+00:00,synthetic,,0,23.0647285,72.4390715
synth_00088,113,39.7,34.5,20,20,2026-02-26 10:40:05+00:00,synthetic,,0,23.0647285,72.4390715
