aqi,temperature,humidity,pm2_5,pm10,timestamp,dataSource,_id,location,__v,location.latitude,location.longitude
98,29.1,54.8,29,30,2025-09-14 19:40:05+00:00,synthetic,synth_00000,,0.0,28.6139,77.209
104,28.1,55.5,48,49,2025-09-14 20:40:05+00:00,synthetic,synth_00001,,0.0,28.6139,77.209
101,25.6,56.9,5,5,2025-09-14 21:40:05+00:00,synthetic,synth_00002,,0.0,28.6139,77.209
95,28.6,52.3,6,6,2025-09-14 22:40:05+00:00,synthetic,synth_00003,,0.0,28.6139,77.209
91,27.4,56.2,30,31,2025-09-14 23:40:05+00:00,synthetic,synth_00004,,0.0,28.6139,77.209
91,29.7,50.3,72,72,2025-09-15 00:40:05+00:00,synthetic,synth_00005,,0.0,28.6139,77.209
93,27.6,54.2,5,5,2025-09-15 01:40:05+00:00,synthetic,synth_00006,,0.0,28.6139,77.209
93,29.2,50.5,24,28,2025-09-15 02:40:05+00:00,synthetic,synth_00007,,0.0,28.6139,77.209
95,31.0,46.7,5,5,2025-09-15 03:40:05+00:00,synthetic,synth_00008,,0.0,28.6139,77.209
100,32.3,45.7,54,59,2025-09-15 04:40:05+00:00,synthetic,synth_00009,,0.0,28.6139,77.209
98,32.6,42.9,35,40,2025-09-15 05:40:05+00:00,synthetic,synth_00010,,0.0,28.6139,77.209
99,35.3,39.4,56,63,2025-09-15 06:40:05+00:00,synthetic,synth_00011,,0.0,28.6139,77.209
102,33.7,45.0,65,67,2025-09-15 07:40:05+00:00,synthetic,synth_00012,,0.0,28.6139,77.209
106,34.6,40.7,6,6,2025-09-15 08:40:05+00:00,synthetic,synth_00013,,0.0,28.6139,77.209
104,36.5,37.9,24,26,2025-09-15 09:40:05+00:00,synthetic,synth_00014,,0.0,28.6139,77.209
104,35.7,38.9,53,53,2025-09-15 10:40:05+00:00,synthetic,synth_00015,,0.0,28.6139,77.209
103,35.7,38.8,34,35,2025-09-15 11:40:05+00:00,synthetic,synth_00016,,0.0,28.6139,77.209
98,34.5,41.7,28,28,2025-09-15 12:40:05+00:00,synthetic,synth_00017,,0.0,28.6139,77.209
97,32.5,45.0,32,40,2025-09-15 13:40:05+00:00,synthetic,synth_00018,,0.0,28.6139,77.209
95,33.4,41.8,45,49,2025-09-15 14:40:05+00:00,synthetic,synth_00019,,0.0,28.6139,77.209
99,33.0,41.6,21,27,2025-09-15 15:40:05+00:00,synthetic,synth_00020,,0.0,28.6139,77.209
96,31.0,47.1,15,16,2025-09-15 16:40:05+00:00,synthetic,synth_00021,,0.0,28.6139,77.209
95,29.7,53.9,37,38,2025-09-15 17:40:05+00:00,synthetic,synth_00022,,0.0,28.6139,77.209
102,29.0,54.0,5,5,2025-09-15 18:40:05+00:00,synthetic,synth_00023,,0.0,28.6139,77.209
105,27.9,52.5,54,58,2025-09-15 19:40:05+00:00,synthetic,synth_00024,,0.0,28.6139,77.209
106,27.7,55.4,45,45,2025-09-15 20:40:05+00:00,synthetic,synth_00025,,0.0,28.6139,77.209
113,27.1,57.4,43,47,2025-09-15 21:40:05+00:00,synthetic,synth_00026,,0.0,28.6139,77.209
114,28.4,53.9,28,34,2025-09-15 22:40:05+00:00,synthetic,synth_00027,,0.0,28.6139,77.209
109,27.2,54.1,23,25,2025-09-15 23:40:05+00:00,synthetic,synth_00028,,0.0,28.6139,77.209
106,29.2,54.9,51,60,2025-09-16 00:40:05+00:00,synthetic,synth_00029,,0.0,28.6139,77.209
106,28.3,53.9,19,21,2025-09-16 01:40:05+00:00,synthetic,synth_00030,,0.0,28.6139,77.209
