feature,importance
dow_cos,15.275493654359003
hour_sin,8.123142113175838
dow_sin,6.958516359868146
pm2_5_roll3,6.897877953881316
pm2_5,6.303537584778492
aqi,4.651722207246548
hour_cos,4.583681395073928
aqi_roll3,4.56292104484434
aqi_lag3,4.155607112673265
aqi_roll6,3.8239961533158953
temperature_roll3,3.7807840160118555
temperature,3.043540002386759
aqi_lag1,3.034497298549678
pm10_roll3,2.9471969693089752
humidity_roll3,2.3248573604480107
aqi_trend,1.6869757543740045
aqi_lag6,1.4209364155496493
humidity,1.173050060001886
pm10,0.8179959965578072
minutes_ahead,0.0
